Darlinghurst,Truck,0,0,9,0.1943,12,0.2427,0,0,0,0
Darlinghurst,Truck,0,0,9,0.5828,12,0.7282,0,0,0,0
Darlinghurst,Motorbike,80,1.1749,21,0.4533,17,0.352,18,0.4122,20,0.5413
Darlinghurst,Bicycle,190,2.7904,65,1.4104,60,1.2218,51,1.1449,38,1.0264
Darlinghurst,Walked only,2424,35.5999,1617,34.9006,1473,29.7933,1270,28.3742,1110,29.6803
Darlinghurst,Other,108,1.5861,62,1.3383,67,1.3513,45,1.0053,25,0.6616
Darlinghurst,Worked at home,321,4.7143,228,4.927,274,5.5387,221,4.9282,170,4.5467
Darlinghurst,Did not go to work,442,6.4914,426,9.197,459,9.2851,504,11.2494,283,7.5751
Darlinghurst,Not stated,65,0.9546,46,0.9933,42,0.8577,55,1.2365,125,3.3278
Darlinghurst,Total employed persons aged 15+,6809,100,4633,100,4943,100,4476,100,3741,100
Darlington,Train,357,27.7605,272,25.1386,305,26.2027,286,27.5443,229,24.873
Darlington,Bus,64,4.9767,64,5.915,92,7.9038,55,5.3011,89,9.638
Darlington,Tram or Ferry,0,0,3,0.2773,3,0.2577,0,0,0,0
Darlington,Taxi,0,0,0,0,6,0.5155,9,0.8886,17,1.8208
Darlington,Car - as driver,213,16.563,232,21.4418,234,20.1031,244,23.4723,199,21.5678
Darlington,Car - as passenger,10,0.7776,30,2.7726,25,2.1478,39,3.7066,40,4.3405
Darlington,Truck,0,0,0,0,0,0,0,0,0,0
Darlington,Motorbike,37,2.8771,6,0.5545,6,0.5155,15,1.4426,9,1.0026
Darlington,Bicycle,91,7.0762,49,4.5287,42,3.6082,21,1.9947,25,2.7019
Darlington,Walked only,282,21.9285,221,20.4251,225,19.3299,170,16.3496,170,18.4188
Darlington,Other,9,0.6998,11,1.0166,9,0.7732,17,1.6734,6,0.6185
Darlington,Worked at home,51,3.9658,37,3.4196,48,4.1237,43,4.1066,20,2.1203
Darlington,Did not go to work,143,11.1198,143,13.2163,157,13.488,124,11.9429,98,10.6059
Darlington,Not stated,29,2.2551,14,1.2939,12,1.0309,16,1.5773,21,2.2918
Darlington,Total employed persons aged 15+,1286,100,1082,100,1164,100,1040,100,922,100
Elizabeth Bay,Train,614,22.3517,429,18.2645,449,19.3738,454,17.9647,400,18.2282
Elizabeth Bay,Bus,201,7.3171,202,8.6074,261,11.274,290,11.474,384,17.4833
Elizabeth Bay,Tram or Ferry,0,0,4,0.1703,0,0,3,0.1187,5,0.2187
Elizabeth Bay,Taxi,166,6.043,102,4.3388,108,4.6537,115,4.5639,138,6.3008
Elizabeth Bay,Car - as driver,522,19.0025,531,22.599,592,25.5219,648,25.6266,506,23.0552
Elizabeth Bay,Car - as passenger,64,2.3298,59,2.5207,83,3.5927,119,4.7004,102,4.6243
Elizabeth Bay,Truck,0,0,3,0.1277,3,0.1294,0,0,0,0
Elizabeth Bay,Truck,0,0,3,0.3832,3,0.3882,0,0,0,0
Elizabeth Bay,Motorbike,61,2.2206,15,0.6387,9,0.3882,3,0.1187,12,0.5467
Elizabeth Bay,Bicycle,37,1.3469,32,1.3796,7,0.3019,18,0.7122,6,0.2734
Elizabeth Bay,Walked only,666,24.2446,617,26.2524,441,18.9985,418,16.5325,332,15.1256
Elizabeth Bay,Other,38,1.3833,10,0.4151,24,1.0502,43,1.6993,15,0.6834
Elizabeth Bay,Worked at home,170,6.1886,138,5.8611,134,5.775,129,5.096,83,3.7586
Elizabeth Bay,Did not go to work,172,6.2614,184,7.8538,189,8.1644,250,9.8914,148,6.745
Elizabeth Bay,Not stated,9,0.3276,23,0.9708,18,0.7763,38,1.5015,65,2.9568
Elizabeth Bay,Total employed persons aged 15+,2747,100,2349,100,2319,100,2527,100,2195,100
Erskineville - Eveleigh,Train,1778,34.8095,1346,31.8038,1163,36.5747,692,32.529,539,27.4532
Erskineville - Eveleigh,Bus,273,5.3525,222,5.248,140,4.3886,71,3.3159,134,6.7997
Erskineville - Eveleigh,Tram or Ferry,0,0,0,0,0,0,3,0.1411,6,0.3054
Erskineville - Eveleigh,Taxi,41,0.8025,13,0.3072,21,0.6701,19,0.8937,24,1.2266
Erskineville - Eveleigh,Car - as driver,1517,29.6929,1465,34.621,1004,31.5852,705,33.1358,641,32.6191
